Description,AvgUnitsShipped,StdUnitsShipped,MinUnitsShipped,MaxUnitsShipped,AvgNetAmount,StdNetAmount,MinNetAmount,MaxNetAmount,NumberOfTransactions,NumberOfTransactionDays,GLCategory
BBK CINNAMON ROLLS,0.918349,0.43269619643213203,0.0,6.0,42.097689,19.910033907054398,0.0,275.04,2229,281,Refrigerated Grocery
TL POTASSIUM 99 MG,0.103448,0.557086014531156,0.0,3.0,0.386896,2.08350169434652,0.0,11.22,29,29,Vitamins
OG2 EDEN SOBA,0.956081,0.351409047731133,0.0,4.0,24.477398,9.143990097596712,0.0,102.72,296,167,Packaged Grocery
"PASTA,FETTUCINI,BRN RICE",1.008385,0.09128468056355302,1.0,2.0,26.669832,2.9281005927145,23.71,54.9,477,230,Packaged Grocery
WOOD OG2 JELLY CRAN SCE,0.902912,0.514773186429315,0.0,4.0,50.601359,28.5306311500582,0.0,195.04,103,77,Packaged Grocery
"TBRUSH,ULTRA SOFT",1.2037280000000001,1.23387171704133,0.0,30.0,12.918667999999998,11.239502353659699,0.0,265.5,751,241,Body Care
"KEFIR,OG2,STRWBRY,WHL MLK",0.746825,0.504339627984242,0.0,3.0,13.632760999999999,9.240575964351779,0.0,46.59,1260,265,Refrigerated Grocery
"RAISINS,OG,BOX",0.187082,0.396088796499041,0.0,2.0,6.289599,13.274605146791101,0.0,54.36,449,202,Packaged Grocery
"CRACKERS,OG,WHOLE WHEAT",1.205323,0.8594850009018791,0.0,8.0,80.750741,32.2644763112575,0.0,424.32,526,215,Packaged Grocery
"WORCESTERSHIRE SAUCE,",1.059512,0.320780536253408,1.0,6.0,32.060624,9.49040190511934,0.0,181.56,1025,264,Packaged Grocery
OG2 LUND TMRI/SEAWD R.C.,0.683704,0.5178105708356829,0.0,4.0,19.250408,14.534667518757901,0.0,97.24,1663,278,Packaged Grocery
"SHAMP,LTRA-HYDRT,ARGAN",3.193588,3.23159133487656,0.0,80.0,14.793341,13.5208219227213,0.0,276.0,2433,281,Body Care
"ACIDOPHILUS,CHEWBL,STRAW",2.111631,1.2981467228821202,0.0,12.0,9.143294000000001,5.669273563063459,0.0,53.76,1281,270,Vitamins
"SUNSHNE BRG,OG2,STHWS",1.025433,0.24870140142176503,0.0,4.0,35.420901,8.71599913105779,0.0,127.96,865,252,Frozen
"STYLING GEL,L.A. NATURAL",2.4216759999999997,1.63852069506911,0.0,12.0,9.885114,6.690821141719559,0.0,51.6,1181,260,Body Care
OG3 AMYS SHEPHERD`S PIE,0.282115,0.45059731028426797,0.0,1.0,8.208816,13.1134387025292,0.0,31.29,397,189,Frozen
"TAMPONS,SUPER",3.976,3.18767659138785,0.0,24.0,7.02072,5.62494056606778,0.0,42.96,625,245,Body Care
G.G SUNKID SPRT SUNSCRN,2.625,2.00510711570593,0.0,6.0,17.369285,13.224088056840198,0.0,46.08,56,48,Body Care
"JUICE,OG,POM W/CRANBY",1.048338,0.6495373320801621,0.0,6.0,31.895317,15.8126170223665,0.0,150.35,331,158,Packaged Grocery
OG2 EDEN PINTO BEANS,1.101809,1.05589295344678,0.0,20.0,19.701432,18.6402942862332,0.0,365.0,1326,264,Packaged Grocery
"SKIN CARE OL,OG2,ROSEHIP",2.605309,1.62464635154105,0.0,18.0,16.196831,9.58164733669131,0.0,89.82,1130,273,Body Care
Women's One Daily,1.3144790000000002,0.634112377395518,0.0,10.0,29.459325,14.2382889312009,0.0,224.3,4420,293,Refrigerated Grocery
"BODY WASH,ALOE VERA SA",2.035971,1.4650772974347401,0.0,12.0,14.646996,10.7294459428914,0.0,91.08,556,208,Body Care
GP GIN GINS HARD CANDY,1.368174,1.44217217052014,1.0,12.0,31.926318,8.07324773084271,3.84,73.18,641,240,Packaged Grocery
KETTLE JALAPENO CHIPS,1.113801,0.517924369625945,0.0,6.0,16.543813,7.61034588369282,0.0,87.78,826,255,Packaged Grocery
Reviving Peppermint,2.21,1.6161745580289901,0.0,7.0,7.618,5.305727989159401,0.0,23.94,100,79,Body Care
OG2 BIONAT BILBERRY NECT,0.9849049999999999,0.35855149793632796,0.0,3.0,16.593584,6.128199008242049,0.0,50.88,265,148,Packaged Grocery
"SODA,NATURAL GRAPE",1.228,0.859189481576795,1.0,19.0,11.232216000000001,7.09730568086837,0.0,150.1,1250,275,Packaged Grocery
OG2 TUMERIC ELIXIR CNUT,0.664179,0.532734165084129,0.0,4.0,10.966455,8.717584049331759,0.0,54.88,268,154,Refrigerated Grocery
PAM MISSION FIG BAR,1.0545069999999999,0.390288211702254,0.0,10.0,17.763165,5.967456728870901,0.0,146.8,954,267,Packaged Grocery
CHEESE FORMULA SMALL SIZE,1.0515459999999999,0.36306551191738395,0.0,4.0,15.249792999999999,5.302311333237871,0.0,56.08,291,157,Packaged Grocery
"Asparagus, Standard, Canadian, 11 lb , Organic",1.1244129999999999,0.5904607851577011,0.0,10.0,10.390641,4.79128531152806,0.0,75.0,1278,285,Packaged Grocery
"STOCK,OG2,CHICKEN,UNSLTD",0.9612059999999999,0.36386966354364797,0.0,4.0,37.589719,15.0665693655965,0.0,162.4,464,194,Packaged Grocery
"RAVIOLI,SPINACH RICOTTA",0.9705879999999999,0.797165209204772,0.0,4.0,18.467647,14.0956352708858,0.0,45.64,34,30,Frozen
"BAGEL CHIPS,WHOLE WHEAT",2.748815,1.78577341360019,0.0,12.0,10.756729,6.960666033951019,0.0,46.44,211,142,Vitamins
"FLAX OIL,OG,ENRCH W/LI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,17,Vitamins
"FRUIT BAR,OG2,MANGO",1.121702,0.52484218671815,0.0,11.0,17.035659,7.612018916420911,0.0,154.99,2161,278,Frozen
GIO L.A. NATURAL,2.4216759999999997,1.63852069506911,0.0,12.0,9.885114,6.690821141719559,0.0,51.6,1181,260,Body Care
"SPRKLNG WTR,MANGO,CAN",2.466514,2.7610631718177996,0.0,45.0,17.536310999999998,18.0941891356505,0.0,304.2,3061,276,Packaged Grocery
"ESTER-C,1000MG,EFVSNT",2.0,2.82842712474619,0.0,4.0,12.62,17.847375157148498,0.0,25.24,2,1,Vitamins
"WITCH HAZEL,LEMON CLEANSE",2.656716,2.2074468331393198,0.0,24.0,12.713761,10.2676554911098,0.0,118.56,335,177,Body Care
"PEAS,OG,SWEET",1.09215,1.52856316986848,0.0,41.0,13.848737,19.4600998900145,0.0,521.52,1172,268,Packaged Grocery
CEL TEA COOL BREW PEACH,0.6444439999999999,0.608857184163142,0.0,2.0,12.089333,12.034841162981,0.0,40.92,45,43,Packaged Tea
HOME PERFUME ROSE WATER,1.552238,1.29431837788071,0.0,6.0,6.721342999999999,5.62968778280697,0.0,26.4,67,58,Body Care
"THINS,OG2,GARLIC & ONION",0.933908,0.7732559348622091,0.0,12.0,13.151982,10.2914636476659,0.0,155.52,348,188,Packaged Grocery
"BITES,OG2,SPRT SWT SPRLNA",0.83568,0.4411008221884,0.0,2.0,28.56737,14.8697080213463,0.0,72.18,213,134,Packaged Grocery
KRIS BLK CURRANT SPRKLR,1.0,,1.0,1.0,36.09,,36.09,36.09,1,1,Packaged Grocery
OG2 NP HOMESTYLE WAFFLES,1.044247,0.256814314406684,0.0,5.0,25.126970999999998,6.37879635859476,0.0,123.2,1017,253,Frozen
"TIGERBALM PATCH,WARM,",1.208469,0.68279026831809,1.0,8.0,24.944298999999997,13.9070459788416,17.4,148.56,307,177,Body Care
"ARTICHOKE HEARTS,WHL",1.2227270000000001,0.601387039530695,0.0,6.0,16.322577,7.46191071667518,0.0,86.88,1540,279,Packaged Grocery
BACH AGRIMONY ESSENCE,1.285714,0.704443469345667,0.0,4.0,11.398181,5.669073703059221,0.0,38.64,77,73,Vitamins
AC PEPPERMNT ESSNTL OIL,2.045714,1.37573422401133,0.0,15.0,26.008982,17.1838288222298,0.0,170.4,875,255,Body Care
"SHWR GEL,FRENCH LAVEN",1.77528,1.20030889610707,0.0,7.0,10.613539,7.127757656536129,0.0,43.82,178,126,Body Care
"PUDDING,OG2,VANILLA",1.091928,1.02247874811467,0.0,13.0,18.248139000000002,17.475066292355002,0.0,228.15,446,217,Packaged Grocery
OG2 AN SES/GNGR W/CHAMIL,1.0846149999999999,0.35903054571167603,1.0,5.0,17.236846,5.36513795875564,13.96,69.8,780,233,Packaged Grocery
"Carrots, Table, Deep Root, 25 lb , Organic",1.927272,1.63510284113393,0.0,6.0,11.498272,9.757474750309079,0.0,36.48,110,90,Vitamins
OG2 BRONR HAND SOAP MINT,2.1074759999999997,1.2610690928985901,0.0,10.0,10.076495,5.71445989198637,0.0,38.56,428,197,Body Care
"FIRST SWEET POTATOES,OG",1.031168,0.173999925361978,1.0,2.0,8.89587,1.63998740269751,0.0,17.34,385,202,Packaged Grocery
OG3 IMAG ITAL WEDDING SP,1.014705,0.121267812518166,1.0,2.0,26.342205,4.852171031422361,0.0,55.14,68,60,Packaged Grocery
"PEACE,OG,PASTA & PARME",1.307847,0.964526292821167,0.0,15.0,30.722837,23.226614543702397,0.0,364.95,994,234,Packaged Grocery
OG1 ES TAPIOCA GRANULES,0.942249,0.33084673134427195,0.0,2.0,10.459665,3.73072226350124,0.0,22.34,329,178,Packaged Grocery
ORGANIC CREAM CHEESE,0.988115,0.65296761698802,0.0,6.0,12.833582,8.33443338501205,0.0,82.02,1178,276,Refrigerated Grocery
"LIQ STEVIA,CINNAMON FLAV",2.263157,1.3101493151813601,0.0,6.0,13.850921,8.84293694464783,0.0,42.24,76,61,Packaged Grocery
"Juice, Orange, No Pulp, Pure Premium, Original, Tr",1.0970739999999999,0.38762213121351,0.0,5.0,15.59738,5.54628393803119,0.0,72.3,1504,277,Packaged Grocery
GIO STYLING GLUE,2.209638,1.18643851187971,0.0,8.0,10.380506,5.58010730805493,0.0,38.4,415,204,Body Care
"HEMP PRO,OG2,VERY VANILLA",1.671171,1.22010958541932,0.0,8.0,16.07099,11.4842256522805,0.0,74.48,222,151,Vitamins
"PIE SHELL,OG2,9IN WHL",1.00335,0.216722458181026,0.0,3.0,37.922779999999996,8.43262651292399,0.0,114.27,597,239,Frozen
OG3 AMYS CALIFORNIA BURG,0.992574,0.27256968356223604,0.0,7.0,42.866113,12.177655152086198,0.0,314.86,808,245,Frozen
"TOMATOES,CHOPPED",1.248068,0.7969595112892479,0.0,10.0,32.324257,20.042032735925897,0.0,243.3,1165,264,Packaged Grocery
"CHILIES,WHOLE GRN MLD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,Packaged Grocery
RICOLA DUAL ACTION CHRY,0.9598389999999999,0.21625844729256696,0.0,2.0,20.647108,4.65454205764866,0.0,42.38,249,152,Vitamins
BL DMND ALMOND NUT THINS,1.265508,0.9797836865425509,0.0,15.0,30.592290999999996,23.349186260491,0.0,367.2,3740,292,Packaged Grocery
"JUICE,OG,BLUEBERRY NECTAR",0.7442300000000001,0.758995752064915,0.0,4.0,18.476288,18.842298710278,0.0,102.72,520,180,Packaged Grocery
"CHIPS,OG2,GRNDED,PNK HMLN",1.070063,1.38275388361029,0.0,20.0,19.355604999999997,29.4447347677515,0.0,407.0,314,136,Packaged Grocery
"DAL TADKA,OG2",1.082969,0.8095471464929341,0.0,8.0,14.828732999999998,10.8395704446416,0.0,105.92,229,128,Packaged Grocery
BAC OUT STAIN&ODOR EL,2.504479,1.83316588450244,0.0,12.0,27.914534000000003,28.7368021948666,0.0,737.04,1451,272,Packaged Grocery
OG2 OETKER CHOC CHIP CKY,0.818181,0.38822377998943103,0.0,1.0,30.304545,14.678642518034401,0.0,41.04,77,65,Packaged Grocery
OG2 MC BTRNUT AZTECA SP,1.075757,0.6154574548966639,1.0,6.0,14.543181,8.15294135862651,13.29,79.74,66,58,Packaged Grocery
"MOIST SHAVE,LAVNDR SHEA",2.074279,1.4988057701086699,0.0,12.0,7.723414,5.5236396704144095,0.0,45.96,902,256,Body Care
"KEFIR,GOAT,BLBRY POMEGRN",0.733408,0.6258487685190091,0.0,10.0,19.405804,15.9399917147737,0.0,231.8,889,242,Refrigerated Grocery
"SCRUB,FACIAL,PORE MNMIZE",1.889688,1.61767374030298,0.0,12.0,11.314184,9.594027134490462,0.0,75.0,834,236,Body Care
GFC CRMY CHKN W/ORZO SP,0.473684,0.6007514091861109,0.0,3.0,9.873157,12.3383628165361,0.0,58.44,57,45,Packaged Grocery
JAS SHAMP BIOTIN,1.861861,1.0408025831083199,0.0,6.0,9.036605999999999,5.14875369919911,0.0,31.14,333,190,Body Care
"ESSENTIAL OIL,MYRRH",1.961424,1.44800613768151,0.0,10.0,27.229525,20.5325374423507,0.0,151.2,337,180,Body Care
"SKIN CARE OIL,OG1,TAMANU",1.877862,1.05263698734587,1.0,6.0,13.990534,7.90356611945393,5.89,46.62,131,100,Body Care
GNRPL GRATED GINGER,0.942257,0.327388626271957,0.0,4.0,19.323543,7.060897683449721,0.0,87.0,381,198,Packaged Grocery
"GINGER,MINCED",0.351691,0.5333878152517411,0.0,6.0,7.1506929999999995,10.8744445648638,0.0,127.56,2306,281,Packaged Grocery
"TAMARI,REDUCED SODIUM",0.949275,0.344835515061512,0.0,3.0,19.975679,7.23632666856016,0.0,62.73,1104,259,Packaged Grocery
ALEXIA YUKON JULINE SALT,1.266308,1.39771981682793,0.0,16.0,30.285218,36.0622682095377,0.0,453.28,2606,280,Frozen
"WAX PAPER,UNBLCH,60981",0.778625,0.567306558850811,0.0,4.0,29.769675,22.125038861805898,0.0,156.4,524,219,Packaged Grocery
"TEA,PEPPERMINT",1.167832,0.6278289664157111,0.0,7.0,13.021958,6.39402507834087,0.0,71.47,143,111,Packaged Tea
OG2 FLAVORG COFF EXTRACT,2.1804509999999997,1.5167478489736297,0.0,6.0,5.9079690000000005,3.97725384157219,0.0,18.42,133,103,Packaged Grocery
OG2 YOGI BREATHE DEEP,1.09948,0.510418669912104,0.0,12.0,17.738173,8.24298446847442,0.0,192.6,1347,254,Packaged Tea
"GARLIC GRANULES,OG2",3.101321,1.58067645920703,0.0,7.0,12.910528,6.6390034625647,0.0,30.94,227,147,Packaged Grocery
"SUNSCREEN,SPF30,LAVEN",3.925531,4.8893445925945995,0.0,60.0,20.33546,25.9015014339477,0.0,333.0,846,203,Body Care
RL CALCIUM W/ENZY,1.568047,0.893323257760812,0.0,6.0,14.515502,8.35296037795335,0.0,53.34,338,178,Vitamins
"GINGER,OG2,GRATED",0.942257,0.327388626271957,0.0,4.0,19.323543,7.060897683449721,0.0,87.0,381,198,Packaged Grocery
ALCR ELECTRO MIX,2.491525,2.0232019889520703,0.0,24.0,14.618432,11.831253910160502,0.0,138.72,472,212,Vitamins
"BROWNIE MIX,CHOC,WF/G",1.022727,0.14915380931181302,1.0,2.0,22.065876,3.69377127366481,0.0,48.28,616,231,Packaged Grocery
"EMERGEN-C,CRNBRY PMGR",2.725146,2.25215936250399,0.0,15.0,20.042821,16.1035564787831,0.0,120.6,684,224,Vitamins
FRTA SALSA HABANERO HOT,1.253097,0.7351449411366129,0.0,8.0,18.524442,10.8234834940379,0.0,122.56,565,198,Packaged Grocery
"ECHINACEA,OG",2.147368,1.34493697696709,1.0,14.0,11.711263,7.307428885354169,5.36,75.74,190,133,Vitamins
"KIDS FOAM BATH,CHEERING",1.141025,0.5172814122173279,0.0,4.0,10.914743,4.90095814168044,0.0,38.0,234,151,Body Care
OG1 MAINE COAST DULSE,4.210221,2.0538530625382,0.0,24.0,18.975621,9.137949051118019,0.0,107.28,1037,262,Packaged Grocery
NW UMCKA COLD FLU BERRY,2.157142,1.36570133009925,0.0,12.0,18.101142000000003,11.4194320503561,0.0,91.92,210,136,Vitamins
"BEAN BURGER,ADZUKI,2 PK",1.0858290000000002,0.495442784699154,0.0,10.0,25.978178,10.8007330923835,0.0,202.5,1235,260,Frozen
"BLUE AGAVE,OG,RAW",0.9970450000000001,0.171979820185505,0.0,2.0,46.873412,9.016381493357429,0.0,99.24,677,254,Packaged Grocery
C&P BEEF SAUSAGE CUTS,1.005025,0.38267383898338503,0.0,4.0,18.009447,5.58765641735098,0.0,63.08,199,134,Packaged Grocery
"BEANS,OG2,KIDNEY,DK RED",1.044117,0.528697169623364,0.0,5.0,34.116323,16.6074021340697,0.0,147.4,136,95,Packaged Grocery
IANS FISH STICKS WF/GF,1.02139,0.25275361274229696,0.0,3.0,39.657459,11.269331711787,0.0,131.76,374,185,Meat
"CONSERVES,OG,STRAWBERR",1.353704,1.33255711853823,0.0,40.0,24.619683,21.3055959543129,0.0,630.0,3158,282,Packaged Grocery
"GRASSMILK,OG2,RF 2%,N",0.9398200000000001,0.432757904728523,0.0,4.0,25.613636,11.7937576172769,0.0,109.92,1562,277,Refrigerated Grocery
RESCUE REMEDY SPRAY,2.435028,1.53359146522774,1.0,12.0,25.213898,15.2970885027621,7.73,112.44,531,220,Vitamins
